Variant,Condition,LPR,Value
WT,H2O,LPR5,43.69
WT,H2O,LPR5,44.83
WT,H2O,LPR5,42.48
WT,H2O,LPR5,42.58
WT,H2O,LPR5,41.72
WT,H2O,LPR5,49.97
WT,H2O,LPR5,48.32
WT,H2O,LPR5,42.44
WT,H2O,LPR5,42.96
WT,H2O,LPR10,36.13
WT,H2O,LPR10,32.81
WT,H2O,LPR10,31.82
WT,H2O,LPR10,33
WT,H2O,LPR10,30.339
WT,H2O,LPR10,33.58
WT,H2O,LPR10,33.58
WT,H2O,LPR10,34.151
WT,H2O,LPR10,34.376
H170A,H2O,LPR5,32.15
H170A,H2O,LPR5,26.2
H170A,H2O,LPR5,34.511
H170A,H2O,LPR5,37.55
H170A,H2O,LPR5,34.74
H170A,H2O,LPR5,51.78
H170A,H2O,LPR5,34.24
H170A,H2O,LPR10,29
H170A,H2O,LPR10,31
H170A,H2O,LPR10,18.47
H170D,H2O,LPR5,24.36
H170D,H2O,LPR5,33.93
H170D,H2O,LPR5,33.93
H170D,H2O,LPR5,33.12
H170D,H2O,LPR5,36.17
H170D,H2O,LPR5,25.67
H170D,H2O,LPR5,25.67
H170D,H2O,LPR5,32.81
H170D,H2O,LPR5,29.98
H170D,H2O,LPR5,35.52
H170D,H2O,LPR5,35.75
H170D,H2O,LPR5,35.75
H170D,H2O,LPR5,28.57
H170D,H2O,LPR10,21.67
H170D,H2O,LPR10,16.97
H170D,H2O,LPR10,21.57
H170E,H2O,LPR5,21.27
H170E,H2O,LPR5,23.42
H170E,H2O,LPR5,27.71
H170E,H2O,LPR5,25.99
H170E,H2O,LPR5,18.95
H170E,H2O,LPR5,21.16
H170E,H2O,LPR5,28.31
H170E,H2O,LPR5,32.08
H170E,H2O,LPR5,17.23
H170E,H2O,LPR10,10.11
H170E,H2O,LPR10,11.59
H170E,H2O,LPR10,11.59
H170E,H2O,LPR10,11.57
H170E,H2O,LPR10,20.97
H170E,H2O,LPR10,14.14
H170E,H2O,LPR10,16.09
